Frame,L5 x,L5 y,L5 z,L3 x,L3 y,L3 z,T12 x,T12 y,T12 z,T8 x,T8 y,T8 z,Neck x,Neck y,Neck z,Head x,Head y,Head z,Right Shoulder x,Right Shoulder y,Right Shoulder z,Right Upper Arm x,Right Upper Arm y,Right Upper Arm z,Right Forearm x,Right Forearm y,Right Forearm z,Right Hand x,Right Hand y,Right Hand z,Left Shoulder x,Left Shoulder y,Left Shoulder z,Left Upper Arm x,Left Upper Arm y,Left Upper Arm z,Left Forearm x,Left Forearm y,Left Forearm z,Left Hand x,Left Hand y,Left Hand z,Right Upper Leg x,Right Upper Leg y,Right Upper Leg z,Right Lower Leg x,Right Lower Leg y,Right Lower Leg z,Right Foot x,Right Foot y,Right Foot z,Right Toe x,Right Toe y,Right Toe z,Left Upper Leg x,Left Upper Leg y,Left Upper Leg z,Left Lower Leg x,Left Lower Leg y,Left Lower Leg z,Left Foot x,Left Foot y,Left Foot z,Left Toe x,Left Toe y,Left Toe z
0,-0.012539102,-0.023091609,-0.037696335,-0.018112036,-0.033354546,-0.054450262,-0.02368497,-0.043617483,-0.071204188,-0.02786467,-0.051314686,-0.083769633,-0.001327619,0.035814099,-0.071544002,0.047955476,0.1976247,-0.04883926,-0.065543312,-0.055105762,-0.064471405,-0.081933692,-0.063508789,-0.19410493,-0.07533384,-0.049459804,-0.153935064,-0.133541998,0.015340424,-0.077929308,-0.002046306,-0.027492085,-0.003802606,0.029981804,-0.124462193,0.04093522,0.043602966,-0.116718671,-0.016991873,0.003106802,-0.117114571,0.046761959,-0.051943581,-0.077390454,-0.022906668,-0.04111375,-0.026333497,-0.060017377,-0.004759199,-0.068497109,-0.023521704,-0.004759199,-0.068497109,-0.023521704,0.018946826,-0.004833557,-0.004246796,0.015117488,-0.109420772,-0.007149873,0.04754694,-0.069687877,-0.023799794,0.04754694,-0.069687877,-0.023799794
1,-0.014146113,0.057422338,0.017591039,-0.019864242,0.082837258,0.025461357,-0.02558237,0.108252179,0.033331675,-0.037369351,0.128944658,0.039091748,-0.000678593,0.084803835,0.029120777,-0.005360103,0.00445871,0.010107364,0.003811172,0.083160947,-0.107964544,-0.017001001,0.060679865,-0.165873145,-0.09857208,0.024627447,-0.130151465,-0.076783981,0.015021844,-0.112679635,0.105767592,0.062495973,-0.007150319,0.067400977,-0.042729784,0.058972395,0.112849667,-0.012687667,-0.012994243,0.071459751,0.002397581,-0.06927606,-0.064388241,-0.015022107,-0.005028563,-0.033965613,0.0148558,7.91795E-05,-0.003051922,-0.006034271,0.058950353,-0.005283308,-0.007177425,0.058949042,0.033073597,0.049971907,-0.009161227,0.047860096,0.037084229,-0.016777684,0.059598205,0.036626153,-0.005471102,0.057358331,0.035208221,-0.005449721
2,-0.073245804,-0.014965043,-0.014100994,-0.105307818,-0.021509757,-0.020314606,-0.137369832,-0.028054471,-0.026528218,-0.167584001,-0.03056754,-0.031045454,-0.143147461,-0.092573917,-0.032733881,-0.168550413,-0.200633262,-0.036679776,-0.06244659,0.024743807,-0.021101485,-0.097286452,0.002337845,-0.117990864,-0.152325971,-0.023957846,-0.051980311,-0.178843235,-0.041770235,-0.050238687,-0.004423286,0.051580286,0.048126006,0.067550015,-0.074309808,0.09496286,0.035542133,-0.010930337,0.007685462,-0.054692799,-0.077861165,-0.003191405,-0.19590671,0.047646416,0.043860633,-0.069278487,-0.116267008,0.06031801,-0.037681651,0.001740686,0.061699806,-0.039952299,0.00038446,0.061705618,0.041141934,0.053846857,0.005528793,-0.096095751,0.022937859,0.062968818,-0.032495893,-0.040150275,0.042960636,-0.034332146,-0.041492425,0.042953318
3,-0.054076411,0.019098097,0.006340121,-0.091487006,0.011623329,0.013548379,-0.1288976,0.00414856,0.020756638,-0.213999338,-0.131097031,-0.056393833,-0.159839646,-0.009332631,-0.018370313,-0.203938611,-0.011128403,-0.089398474,-0.139659707,0.048131475,0.090466343,-0.150786598,-0.041677869,-0.051735141,-0.177032612,-0.015902754,-0.014932384,-0.164777705,-0.04676427,-0.007605554,-0.043087717,0.029933287,0.066623886,0.075416732,-0.134343737,0.10692968,0.062029413,-0.025896572,0.005818228,-0.05777793,-0.128536442,0.018669839,-0.106417949,0.040738307,0.12499916,-0.041010558,-0.11669987,0.071831716,-0.069137767,-0.042646285,0.092869066,-0.069592525,-0.065510075,0.096052055,0.073992646,0.11313226,-0.014662979,-0.075465087,-0.056220892,0.088428734,-0.013296113,-0.016638258,0.105897143,-0.021411843,-0.028961411,0.077144529
4,-0.088772478,-0.193633684,-0.011748893,-0.127063952,-0.279900962,-0.017002632,-0.165355426,-0.36616824,-0.022256372,-0.197514597,-0.42310994,-0.025999411,-0.114036397,-0.241438543,-0.037572489,-0.021035699,0.112575876,-0.058702428,-0.129179487,-0.03537931,0.066584384,-0.180658488,-0.11185251,-0.0846777,-0.1186089,-0.13582276,-0.052632598,-0.094456505,-0.154720472,-0.021677558,-0.087562774,-0.051698881,0.054332553,-0.000695264,-0.18784768,0.029710797,0.088983094,-0.222287554,-0.041535243,0.003975892,-0.187295302,-0.072993429,0.055027641,-0.020151632,0.046293281,0.005600031,-0.114428821,0.038490483,-0.000362445,-0.144834038,0.016664282,-0.00307007,-0.146414327,0.016666079,0.046216544,-0.043940828,-0.017542953,0.009851591,-0.207642732,0.031294136,0.070037667,-0.096551151,0.004032952,0.068555115,-0.098177554,0.004049907
5,-0.095135343,0.048425562,-0.034181821,-0.136307681,0.069406583,-0.049412317,-0.177480019,0.090387604,-0.064642814,-0.210639801,0.112428626,-0.076211283,-0.173141967,0.130548921,-0.132016605,-0.160597665,0.175129681,-0.235920771,-0.231021173,-0.044893341,0.003823674,-0.295757676,-0.067815059,-0.027948766,-0.234117552,-0.160180914,0.018136736,-0.195628492,-0.201666839,0.000165947,-0.166639671,-0.050116758,0.051868122,-0.097017337,-0.13976614,0.026246645,-0.02062262,-0.131269573,-0.064207549,-0.016253662,-0.182841402,-0.095926815,-0.040726038,-0.035460084,0.04213658,-0.01266594,-0.054855195,0.000538677,-0.031802285,-0.056895138,0.040282721,-0.034541684,-0.058315961,0.040293162,0.012156759,-0.18171957,0.014578902,-0.064199586,-0.056336316,0.024562678,-0.033286673,-0.106220416,-0.01338022,-0.035077384,-0.107769194,-0.01336899
6,-0.044860127,0.05547863,-0.01648517,-0.065629823,0.068691276,-0.025523716,-0.086399519,0.081903921,-0.034562261,-0.059457034,0.263373201,-0.016612151,-0.153322041,0.020863966,-0.157571093,-0.408549114,-0.02052914,-0.328118099,-0.092950979,0.147596768,0.018155067,-0.244392161,0.080221946,-0.105613864,-0.130765745,-0.06325134,-0.083010499,-0.116618346,-0.100848111,-0.088866545,-0.074105241,0.148598564,-0.016553888,0.000588631,0.01662246,0.006202193,0.03245608,-0.054811798,-0.083405999,-0.00126009,-0.09213501,-0.098992401,0.161091359,-0.083934173,0.001108673,0.048231651,0.024571026,0.037053843,0.014351085,-0.001766518,-0.020886805,0.016006422,0.009876278,-0.035722463,0.04741847,-0.083247949,0.030731553,0.080866074,0.004423912,-0.012415103,0.057480439,0.047574402,-0.012654542,0.04623941,0.02408247,0.001011458
7,-0.051374401,0.094747772,-0.04774999,-0.073523903,0.136600447,-0.068965736,-0.095673406,0.178453122,-0.090181483,-0.115471414,0.212796952,-0.106293463,-0.219171776,0.086974124,-0.17937316,-0.458063461,-0.147465286,-0.317052183,-0.113785442,0.154160072,-0.035685942,-0.178816093,0.144737965,-0.141943643,-0.208330991,-0.030884187,-0.129235687,-0.184247955,-0.141662838,-0.145022459,-0.056600569,0.107215414,-0.031967822,-0.076644921,0.024497744,-0.045567063,-0.146879307,-0.076412203,-0.104596791,-0.045418363,-0.119352584,-0.173162289,-0.047599737,0.105583403,-0.017441426,0.126772698,-0.105593335,-0.040888329,-0.027309447,-0.004527675,-0.035591413,-0.030938056,-0.006429807,-0.035594168,-0.145502476,0.12438816,-0.009048893,0.04079382,-0.047447259,-0.025908972,-0.002352662,-0.023337743,-0.0558316,-0.004437656,-0.025163319,-0.055818531
8,-0.013142795,0.074119896,-0.006088767,-0.019082531,0.107323152,-0.008756749,-0.025022267,0.140526408,-0.011424732,-0.034687719,0.168027459,-0.013517831,-0.14349395,0.067465197,-0.075425048,-0.39197922,-0.125086304,-0.19164815,-0.111819466,0.079610027,-0.108027674,-0.230011341,0.082703639,-0.146239288,-0.222716836,0.039825974,-0.114452831,-0.156708725,-0.127244714,-0.124611926,-0.015229174,0.113825806,-0.073133207,-0.012004593,0.044673858,-0.062822804,-0.147547453,0.026334754,-0.1368051,-0.099684945,-0.053341747,-0.182387466,-0.044330382,0.003391023,-0.024748673,0.167169791,0.021492957,-0.040868524,0.022395658,-0.02807362,-0.067402048,0.017456389,-0.028996138,-0.067383332,0.011105447,0.196952606,-0.063995768,0.048845022,0.052502421,-0.030719615,0.003281231,0.047193267,-0.036990034,0.000989032,0.045516388,-0.036977606
9,-0.009225489,-0.003754331,0.007071729,-0.01221628,0.007993442,0.012174692,-0.015207071,0.019741214,0.017277655,-0.027461657,-0.0066761,0.01280247,-0.113661079,-0.027965279,0.008837376,-0.143537713,-0.042397975,-0.051018637,-0.034579407,0.036371454,-0.014838334,-0.240327883,-0.013037043,-0.112282793,-0.195607799,-0.040031584,-0.098546184,-0.174866024,-0.215667413,-0.118319608,0.040642567,-0.003660596,-0.041169732,0.060057569,-0.084063725,-0.051085407,-0.178077438,-0.065740189,-0.107756648,-0.153691705,-0.103721997,-0.134186278,-0.131888803,0.004688131,0.00382796,0.112680512,-0.105633276,-0.006506856,0.007184162,-0.039374974,-0.047193918,0.008242375,-0.036500554,-0.056274104,-0.031759886,0.104958133,-0.028340526,0.102282172,-0.006058671,-0.025123447,0.049854859,-0.000506302,-0.031253353,0.03732823,-0.027902909,-0.003516412
10,-0.058704833,0.045569916,-0.026800923,-0.085941126,0.066171136,-0.03871221,-0.113177419,0.086772356,-0.050623498,-0.138560439,0.103868323,-0.059663625,-0.042731536,0.093493668,-0.060138313,0.088242449,0.057897188,-0.06041196,-0.053977832,-0.02979711,-0.018513131,-0.196540838,-0.040732159,-0.059976568,-0.183928289,-0.074812474,-0.060829612,-0.167232029,-0.200254006,-0.08102197,0.024710647,-0.049440075,-0.030600458,0.103311638,-0.118474153,-0.039697674,-0.044285676,-0.028073346,-0.100576731,-0.136187822,-0.025037804,-0.108843571,-0.124089464,0.038897866,0.029611772,-0.020405893,-0.183274426,0.009498631,0.010084991,-0.039587039,0.00767883,0.003051764,-0.040110013,0.007677945,-0.042201115,-0.074415934,0.003766261,0.074918733,-0.034686958,-0.017467947,0.057095002,-0.009757956,-0.029279798,0.05359608,-0.011816375,-0.029252584
11,-0.041550992,-0.018556485,-0.03462965,-0.061130432,-0.026436901,-0.05002183,-0.080709872,-0.034317317,-0.06541401,-0.099299751,-0.038921811,-0.076996837,-0.044805594,0.066023182,-0.113433313,0.012558479,0.240093215,-0.17988034,-0.110308774,-0.067558641,-0.013312832,-0.20016134,-0.023979768,-0.007692759,-0.23917391,-0.022240637,0.025350831,-0.194538929,-0.111450627,-0.016126645,-0.05886782,-0.061224046,0.017692608,0.056148414,-0.115611181,-0.05078418,0.03338761,-0.033938855,-0.071736849,-0.113443707,-0.015111258,-0.066734332,-0.052399595,0.049229528,0.00957027,-0.096908065,-0.08697946,-0.030053208,0.015878134,-0.006898865,0.018694111,0.009205575,-0.007596566,0.01869901,0.002241159,-0.200922231,0.002673524,-0.008695978,-0.019514584,-0.019379421,0.033324992,-0.010222515,-0.008922561,0.02992925,-0.012302652,-0.008910182
